page,station,rain_mm
22,Iglesias RF,57.4
22,Iglesias San Michele,49.0
22,Siliqua RU,47.2
22,Diga Genna Is Abis,48.4
22,Diga Punta Gennarta,43.6
22,Siliqua Campanasissa,125.2
27,Osidda RF,118.6
43,Dorgali Monte Tului,92.0
43,Orgosolo Monte Novo,257.2
43,Urzulei Genna Silana,437.0
57,Baunei RF,205.6
57,Urzulei RU,328.3
61,Tertenia RF,211.4
65,Villagrande Strisaili RU,512.3
65,Arzana RU,285.2
65,Ussassai RU,327.1
65,Seui RU,368.8
65,Sadali RU,184.4
93,Baunei RF,200.0
93,Urzulei RU,200.0
93,Tertenia RF,200.0
93,Ussassai RU,200.0
93,Seui RU,200.0
93,Orgosolo Monte Novo,200.0
93,Urzulei Genna Silana,200.0
