id,codice,stazione,data,orario,livello_m,portata_m3s
1,F27,Riu Mannu a San Sperate,23/01/2026,07:42,1.34,10.727
2,F22,Riu Cixerri a Uta,23/01/2026,10:05,1.28,18.069
3,F06,Riu Murmurei a Trav. S. Lucia,23/01/2026,11:15,1.55,4.089
4,F18,Riu Mannu a Villa San Pietro,23/01/2026,13:38,0.65,7.763
5,F59,Riu Mannu di Ozieri a Fraigas,20/01/2026,13:11,2.28,72.47
6,F47,Riu Mannu di Berchidda,20/01/2026,15:05,2.9,153.617
7,F49,Riu Vignola a p.te Vignola,20/01/2026,11:07,1.91,24.377
8,F83,Riu Carana a p.te SP137,20/01/2026,09:06,1.6,35.806
9,F79,Riu di S. Giovanni Arzachena,21/01/2026,06:41,1.08,10.061
10,F79,Riu di S. Giovanni Arzachena,20/01/2026,16:15,1.48,20.537
11,F79,Riu di S. Giovanni Arzachena,20/01/2026,07:57,2.05,33.115
12,F55,Riu Mannu a p.te Gallè,22/01/2026,08:31,1.48,41.275
13,F55,Riu Mannu a p.te Gallè,21/01/2026,14:52,2.05,78.716
14,F55,Riu Mannu a p.te Gallè,21/01/2026,10:05,2.33,113.004
15,F00,Fiume di Posada a Torpè,22/01/2026,13:36,2.2,43.287
16,F00,Fiume di Posada a Torpè,22/01/2026,07:29,3.1,105.319
17,F00,Fiume di Posada a Torpè,21/01/2026,15:57,4.25,223.093
18,F00,Fiume di Posada a Torpè,21/01/2026,11:03,4.62,274.87
19,F77,Rio di Siniscola a zona ind.,22/01/2026,12:50,1.47,18.242
20,F77,Rio di Siniscola a zona ind.,22/01/2026,06:42,1.62,21.622
21,F77,Rio di Siniscola a zona ind.,21/01/2026,16:39,2.25,35.579
22,F77,Rio di Siniscola a zona ind.,21/01/2026,12:00,2.49,39.393
23,F77,Rio di Siniscola a zona ind.,21/01/2026,08:53,2.64,42.812
24,F31,Cedrino a Onifai,22/01/2026,10:29,2.47,210.716
25,F31,Cedrino a Onifai,21/01/2026,17:39,3.74,366.177
26,F31,Cedrino a Onifai,21/01/2026,12:58,4.4,471.406
27,F03,Riu Pramaera a Lotzorai,22/01/2025,14:45,1.615,18.979
28,F03,Riu Pramaera a Lotzorai,22/01/2025,13:10,1.65,18.998
29,F03,Riu Pramaera a Lotzorai,22/01/2025,10:56,1.7,20.683
30,F03,Riu Pramaera a Lotzorai,22/01/2025,09:20,1.735,22.738
31,F03,Riu Pramaera a Lotzorai,22/01/2025,08:33,1.75,24.478
32,F34,Flumendosa a Ballao RF,21/01/2026,09:45,1.26,11.567
33,F34,Flumendosa a Ballao RF,19/01/2026,10:36,1.57,19.345
34,F34,Flumendosa a Ballao RF,20/01/2026,10:12,1.88,38.858
35,F10,Riu Stanali a Pramas,19/01/2026,08:26,1.8,23.906
36,F10,Riu Stanali a Pramas,19/01/2026,09:39,1.88,26.162
37,F10,Riu Stanali a Pramas,21/01/2026,10:54,3.95,205.702
38,F10,Riu Stanali a Pramas,21/01/2026,09:02,4.02,220.795
39,F10,Riu Stanali a Pramas,20/01/2026,12:55,5.12,413.614
40,F10,Riu Stanali a Pramas,20/01/2026,14:26,5.135,425.738
41,F10,Riu Stanali a Pramas,20/01/2026,09:21,5.51,491.01
42,F21,Flumendosa a p.te Brecca,19/01/2026,11:47,2.87,88.973
43,F21,Flumendosa a p.te Brecca,19/01/2026,13:12,2.95,94.353
44,F21,Flumendosa a p.te Brecca,21/01/2026,13:23,4.82,318.968
45,F21,Flumendosa a p.te Brecca,21/01/2026,11:58,4.93,346.372
46,F21,Flumendosa a p.te Brecca,21/01/2026,07:30,5.475,454.627
