Stazione,Vento_medio_ms,Vento_medio_kmh,Raffica_ms,Raffica_kmh
San Teodoro RU,14.6,52,21.6,78
Cagliari Molentargius,14.8,53,23.9,86
Santa Teresa Di Gallura RU,14.8,53,22.8,82
Narcao Monte Rosas,14.9,53,28.4,102
Arbus Ingurtosu ,15.3,55,20.8,75
Luras RU, 15.3,55,24.2,87
Stintino RU, 15.3,55,21.5,77
Bosa RU, 15.5,56,26.2,94
Pattada, 15.8,57,25.1,90
Sadali, 15.9,57,24.0,86
Fonni, 16.2,58,36.6,132
Perdasdefogu RU, 16.4,59,28.1,101
Macomer RU,16.9,61,26.9,97
Bitti RU, 17.0,61,28.9,104
Masainas RU, 17.2,62,28.6,103
Meana Sardo, 17.6,63,28.3,102
Domus De Maria, 18.2,65,32.6,117
Seui RU,18.3,66,35.6,128
Orgosolo Monte Novo, 19.2,69,29.0,104
Santu Lussurgiu Badde Urbara,20.2,73,27.6,99
Tempio Limbara,21.8,78,34.4,124
Desulo Perdu Abes,22.6,81,35.9,129
Santadi Punta Sebera,24.5,88,37.2,134
Iglesias San Michele,24.6,89,38.3,138
